tstart tstop exp cts normAB11 normAB12 normAB13 normAB14 normAB21 normAB22 normAB23 normAB24 normAB11aa normAB21aa ratediffR1 ratediffR2 ratediffR3 ratediffR4 ratediffR1AA rate rate_error flux_ratediffR4 flux_ratediffR4_error Sa flux_rate flux_rate_error cts_expBKGR4 Slm SignUL N_sourceUL rateUL fluxUL SignSens3 N_sourceSens3 rateSens3 fluxSens3 SignSens4 N_sourceSens4 rateSens4 fluxSens4 SignSens5 N_sourceSens5 rateSens5 fluxSens5 fluxscalefactor ratew_meanR1 ratew_meanR2 ratew_meanR3 ratew_meanR4 ratew_meanR1aa
149126400.0 149137200.0 2485467.46 6 800243.34 481022.44 394631.64 937204.46 3285710.80 2966489.90 2880099.10 3422671.92 481022.44 2966489.90 5.88e-07 3.91e-07 3.31e-07 6.61e-07 3.91e-07 2.41e-06 1.03e-06 nan 0.00e+00 0.74 nan 0.00e+00 4.36 3.00 2.31 0.10 4.02e-08 nan 3.02 1.70 6.84e-07 nan 4.00 4.30 1.73e-06 nan 5.02 7.50 3.02e-06 nan nan 0.00 2.02e-06 2.08e-06 0.0000 2.02e-06
149137200.0 149148000.0 3284611.94 11 2739191.19 2153952.87 1995569.74 2990286.57 6023803.13 5438564.81 5280181.68 6274898.51 2153952.87 5438564.81 1.52e-06 1.33e-06 1.27e-06 1.60e-06 1.33e-06 3.35e-06 1.03e-06 nan 0.00e+00 1.94 nan 0.00e+00 5.76 4.47 2.64 0.10 3.04e-08 nan 3.01 1.00 3.04e-07 nan 4.01 3.80 1.16e-06 nan 5.01 7.10 2.16e-06 nan nan 0.00 2.02e-06 2.08e-06 0.0000 2.02e-06
149148000.0 149158800.0 3035488.68 6 250222.12 -68998.78 -155389.58 387183.24 3285710.80 2966489.90 2880099.10 3422671.92 -68998.78 2966489.90 1.51e-07 -4.60e-08 -1.07e-07 2.24e-07 -4.60e-08 1.98e-06 8.40e-07 nan 0.00e+00 0.29 nan 0.00e+00 5.32 2.79 2.54 0.10 3.29e-08 nan 3.00 1.20 3.95e-07 nan 4.02 4.00 1.32e-06 nan 5.01 7.20 2.37e-06 nan nan 0.00 2.02e-06 2.08e-06 0.0000 2.02e-06
149158800.0 149169600.0 3049237.58 6 236473.22 -82747.68 -169138.48 373434.34 3285710.80 2966489.90 2880099.10 3422671.92 -82747.68 2966489.90 1.42e-07 -5.49e-08 -1.16e-07 2.15e-07 -5.49e-08 1.97e-06 8.36e-07 nan 0.00e+00 0.28 nan 0.00e+00 5.35 2.79 2.55 0.10 3.28e-08 nan 3.01 1.20 3.94e-07 nan 4.02 4.00 1.31e-06 nan 5.01 7.20 2.36e-06 nan nan 0.00 2.02e-06 2.08e-06 0.0000 2.02e-06
149169600.0 149180400.0 2403052.04 3 -760196.64 -919807.09 -963002.49 -691716.08 1642855.40 1483244.95 1440049.55 1711335.96 -919807.09 1483244.95 -5.78e-07 -7.74e-07 -8.35e-07 -5.05e-07 -7.74e-07 1.25e-06 7.79e-07 nan 0.00e+00 0.62 nan 0.00e+00 4.21 1.58 2.27 0.10 4.16e-08 nan 3.04 1.80 7.49e-07 nan 4.02 4.40 1.83e-06 nan 5.01 7.50 3.12e-06 nan nan 0.00 2.02e-06 2.08e-06 0.0000 2.02e-06
149180400.0 149191200.0 2432082.88 4 -241609.02 -454422.95 -512016.82 -150301.60 2190473.86 1977659.93 1920066.06 2281781.28 -454422.95 1977659.93 -1.81e-07 -3.78e-07 -4.39e-07 -1.08e-07 -3.78e-07 1.64e-06 8.72e-07 nan 0.00e+00 0.13 nan 0.00e+00 4.26 2.11 2.29 0.10 4.11e-08 nan 3.01 1.70 6.99e-07 nan 4.03 4.40 1.81e-06 nan 5.01 7.50 3.08e-06 nan nan 0.00 2.02e-06 2.08e-06 0.0000 2.02e-06
149191200.0 149202000.0 1967138.43 3 -324283.03 -483893.48 -527088.88 -255802.47 1642855.40 1483244.95 1440049.55 1711335.96 -483893.48 1483244.95 -3.01e-07 -4.98e-07 -5.58e-07 -2.28e-07 -4.98e-07 1.53e-06 9.51e-07 nan 0.00e+00 0.25 nan 0.00e+00 3.45 1.76 2.07 0.10 5.08e-08 nan 3.03 2.10 1.07e-06 nan 4.01 4.60 2.34e-06 nan 5.02 7.70 3.91e-06 nan nan 0.00 2.02e-06 2.08e-06 0.0000 2.02e-06
149202000.0 149212800.0 2137192.89 3 -494337.49 -653947.94 -697143.34 -425856.93 1642855.40 1483244.95 1440049.55 1711335.96 -653947.94 1483244.95 -4.22e-07 -6.19e-07 -6.80e-07 -3.49e-07 -6.19e-07 1.40e-06 8.75e-07 nan 0.00e+00 0.40 nan 0.00e+00 3.75 1.69 2.15 0.10 4.68e-08 nan 3.04 2.00 9.36e-07 nan 4.00 4.50 2.11e-06 nan 5.01 7.60 3.56e-06 nan nan 0.00 2.02e-06 2.08e-06 0.0000 2.02e-06
149212800.0 149223600.0 2456152.48 6 829558.32 510337.42 423946.62 966519.44 3285710.80 2966489.90 2880099.10 3422671.92 510337.42 2966489.90 6.17e-07 4.20e-07 3.60e-07 6.90e-07 4.20e-07 2.44e-06 1.04e-06 nan 0.00e+00 0.77 nan 0.00e+00 4.31 3.01 2.30 0.10 4.07e-08 nan 3.01 1.70 6.92e-07 nan 4.03 4.40 1.79e-06 nan 5.02 7.50 3.05e-06 nan nan 0.00 2.02e-06 2.08e-06 0.0000 2.02e-06
149223600.0 149234400.0 3277219.05 8 1103728.68 678100.81 562913.08 1286343.51 4380947.73 3955319.86 3840132.13 4563562.56 678100.81 3955319.86 6.15e-07 4.19e-07 3.58e-07 6.88e-07 4.19e-07 2.44e-06 8.90e-07 nan 0.00e+00 0.89 nan 0.00e+00 5.75 3.48 2.64 0.10 3.05e-08 nan 3.01 1.00 3.05e-07 nan 4.01 3.80 1.16e-06 nan 5.01 7.10 2.17e-06 nan nan 0.00 2.02e-06 2.08e-06 0.0000 2.02e-06
